Phrase	IPA	SoundsLike	DisplayAs
十二指腸癌		ジュウニシチョウガン	十二指腸癌
十二指腸球後部潰瘍		ジュウニシチョウキュウゴブカイヨウ	十二指腸球後部潰瘍
十二指腸球部変形		ジュウニシチョウキュウブヘンケイ	十二指腸球部変形
十二指腸狭窄症		ジュウニシチョウキョウサクショウ	十二指腸狭窄症
十二指腸クローン病		ジュウニシチョウクローンビョウ	十二指腸クローン病
十二指腸憩室炎		ジュウニシチョウケイシツエン	十二指腸憩室炎
十二指腸憩室出血		ジュウニシチョウケイシツシュッケツ	十二指腸憩室出血
十二指腸憩室症		ジュウニシチョウケイシツショウ	十二指腸憩室症
十二指腸憩室穿孔		ジュウニシチョウケイシツセンコウ	十二指腸憩室穿孔
十二指腸結核		ジュウニシチョウケッカク	十二指腸結核
十二指腸血管腫		ジュウニシチョウケッカンシュ	十二指腸血管腫
十二指腸脂肪腫		ジュウニシチョウシボウシュ	十二指腸脂肪腫
十二指腸周囲炎		ジュウニシチョウシュウイエン	十二指腸周囲炎
十二指腸腫瘍		ジュウニシチョウシュヨウ	十二指腸腫瘍
十二指腸腫瘤		ジュウニシチョウシュリュウ	十二指腸腫瘤
十二指腸消化管間質腫瘍		ジュウニシチョウショウカカンカンシツシュヨウ	十二指腸消化管間質腫瘍
十二指腸神経内分泌癌		ジュウニシチョウシンケイナイブンピガン	十二指腸神経内分泌癌
十二指腸神経内分泌細胞癌		ジュウニシチョウシンケイナイブンピサイボウガン	十二指腸神経内分泌細胞癌
十二指腸神経内分泌腫瘍		ジュウニシチョウシンケイナイブンピシュヨウ	十二指腸神経内分泌腫瘍
十二指腸上皮内癌		ジュウニシチョウジョウヒナイガン	十二指腸上皮内癌
十二指腸静脈瘤		ジュウニシチョウジョウミャクリュウ	十二指腸静脈瘤
十二指腸線維腫		ジュウニシチョウセンイシュ	十二指腸線維腫
十二指腸穿孔		ジュウニシチョウセンコウ	十二指腸穿孔
十二指腸穿孔腹膜炎		ジュウニシチョウセンコウフクマクエン	十二指腸穿孔腹膜炎
十二指腸腺腫		ジュウニシチョウセンシュ	十二指腸腺腫
十二指腸前門脈		ジュウニシチョウゼンモンミャク	十二指腸前門脈
十二指腸総胆管炎		ジュウニシチョウソウタンカンエン	十二指腸総胆管炎
十二指腸ソマトスタチノーマ		ジュウニシチョウソマトスタチノーマ	十二指腸ソマトスタチノーマ
十二指腸損傷		ジュウニシチョウソンショウ	十二指腸損傷
十二指腸損傷・腹腔に達する開放創合併あり		ジュウニシチョウソンショウ・フククウニタッスルカイホウソウガッペイアリ	十二指腸損傷・腹腔に達する開放創合併あり
十二指腸損傷・腹腔に達する開放創合併なし		ジュウニシチョウソンショウ・フククウニタッスルカイホウソウガッペイナシ	十二指腸損傷・腹腔に達する開放創合併なし
十二指腸虫症		ジュウニシチョウチュウショウ	十二指腸虫症
十二指腸虫貧血		ジュウニシチョウチュウヒンケツ	十二指腸虫貧血
十二指腸乳頭炎		ジュウニシチョウニュウトウエン	十二指腸乳頭炎
十二指腸乳頭癌		ジュウニシチョウニュウトウガン	十二指腸乳頭癌
十二指腸乳頭狭窄		ジュウニシチョウニュウトウキョウサク	十二指腸乳頭狭窄
十二指腸乳頭部癌		ジュウニシチョウニュウトウブガン	十二指腸乳頭部癌
十二指腸乳頭部腫瘍		ジュウニシチョウニュウトウブシュヨウ	十二指腸乳頭部腫瘍
十二指腸乳頭部腺腫		ジュウニシチョウニュウトウブセンシュ	十二指腸乳頭部腺腫
十二指腸粘液腫		ジュウニシチョウネンエキシュ	十二指腸粘液腫
十二指腸粘膜下腫瘍		ジュウニシチョウネンマクカシュヨウ	十二指腸粘膜下腫瘍
十二指腸破裂		ジュウニシチョウハレツ	十二指腸破裂
十二指腸びらん		ジュウニシチョウビラン	十二指腸びらん
十二指腸ブルンネル腺腫		ジュウニシチョウブルンネルセンシュ	十二指腸ブルンネル腺腫
十二指腸平滑筋腫		ジュウニシチョウヘイカツキンシュ	十二指腸平滑筋腫
十二指腸平滑筋肉腫		ジュウニシチョウヘイカツキンニクシュ	十二指腸平滑筋肉腫
十二指腸閉鎖		ジュウニシチョウヘイサ	十二指腸閉鎖
十二指腸閉塞		ジュウニシチョウヘイソク	十二指腸閉塞
十二指腸ポリープ		ジュウニシチョウポリープ	十二指腸ポリープ
十二指腸ポリポーシス		ジュウニシチョウポリポーシス	十二指腸ポリポーシス
十二指腸迷入膵		ジュウニシチョウメイニュウスイ	十二指腸迷入膵
十二指腸良性腫瘍		ジュウニシチョウリョウセイシュヨウ	十二指腸良性腫瘍
十二指腸リンパ管腫		ジュウニシチョウリンパカンシュ	十二指腸リンパ管腫
十二指腸瘻		ジュウニシチョウロウ	十二指腸瘻
獣皮様母斑		ジュウヒヨウボハン	獣皮様母斑
重複癌		ジュウフクガン	重複癌
重複骨折		ジュウフクコッセツ	重複骨折
重複子宮		ジュウフクシキュウ	重複子宮
重複子宮・重複腟		ジュウフクシキュウ・ジュウフクチツ	重複子宮・重複腟
重複腎盂尿管		ジュウフクジンウニョウカン	重複腎盂尿管
重複腎動脈		ジュウフクジンドウミャク	重複腎動脈
重複性アテトーシス		ジュウフクセイアテトーシス	重複性アテトーシス
重複精管		ジュウフクセイカン	重複精管
重複性垂直骨盤開放骨折		ジュウフクセイスイチョクコツバンカイホウコッセツ	重複性垂直骨盤開放骨折
重複性垂直骨盤骨折		ジュウフクセイスイチョクコツバンコッセツ	重複性垂直骨盤骨折
重複僧帽弁口		ジュウフクソウボウベンコウ	重複僧帽弁口
重複胆管		ジュウフクタンカン	重複胆管
重複胆のう		ジュウフクタンノウ	重複胆のう
重複胆のう管		ジュウフクタンノウカン	重複胆のう管
重複大動脈弓		ジュウフクダイドウミャクキュウ	重複大動脈弓
重複腟		ジュウフクチツ	重複腟
重複爪		ジュウフクツメ	重複爪
重複尿管		ジュウフクニョウカン	重複尿管
重複尿道		ジュウフクニョウドウ	重複尿道
重複ヘテロ接合型鎌状化障害		ジュウフクヘテロセツゴウガタカマジョウカショウガイ	重複ヘテロ接合型鎌状化障害
重複膀胱		ジュウフクボウコウ	重複膀胱
重複母指		ジュウフクボシ	重複母指
重複幽門		ジュウフクユウモン	重複幽門
絨毛癌		ジュウモウガン	絨毛癌
絨毛血管腫		ジュウモウケッカンシュ	絨毛血管腫
絨毛性疾患		ジュウモウセイシッカン	絨毛性疾患
絨毛膜下血腫		ジュウモウマクカケッシュ	絨毛膜下血腫
絨毛膜羊膜炎		ジュウモウマクヨウマクエン	絨毛膜羊膜炎
樹枝状角膜炎		ジュシジョウカクマクエン	樹枝状角膜炎
樹枝状角膜潰瘍		ジュシジョウカクマクカイヨウ	樹枝状角膜潰瘍
樹枝状白内障		ジュシジョウハクナイショウ	樹枝状白内障
樹枝状皮斑		ジュシジョウヒハン	樹枝状皮斑
入水自殺		ジュスイジサツ	入水自殺
入水自殺未遂		ジュスイジサツミスイ	入水自殺未遂
術後胃潰瘍		ジュツゴイカイヨウ	術後胃潰瘍
術後胃十二指腸潰瘍		ジュツゴイジュウニシチョウカイヨウ	術後胃十二指腸潰瘍
術後異物体内遺残		ジュツゴイブツタイナイイザン	術後異物体内遺残
術後イレウス		ジュツゴイレウス	術後イレウス
術後嚥下障害		ジュツゴエンゲショウガイ	術後嚥下障害
術後横隔膜下膿瘍		ジュツゴオウカクマクカノウヨウ	術後横隔膜下膿瘍
術後悪心		ジュツゴオシン	術後悪心
術後下垂体機能低下症		ジュツゴカスイタイキノウテイカショウ	術後下垂体機能低下症
術後肝炎		ジュツゴカンエン	術後肝炎
術後肝障害		ジュツゴカンショウガイ	術後肝障害
術後感染症		ジュツゴカンセンショウ	術後感染症
術後冠動脈攣縮症		ジュツゴカンドウミャクレンシュクショウ	術後冠動脈攣縮症
術後合併症		ジュツゴガッペイショウ	術後合併症
術後眼内炎		ジュツゴガンナイエン	術後眼内炎
術後顔面神経麻痺		ジュツゴガンメンシンケイマヒ	術後顔面神経麻痺
術後吸収不良		ジュツゴキュウシュウフリョウ	術後吸収不良
術後吸収不良性骨粗鬆症		ジュツゴキュウシュウフリョウセイコツソショウショウ	術後吸収不良性骨粗鬆症
術後吸収不良性骨粗鬆症・下腿部病的骨折あり		ジュツゴキュウシュウフリョウセイコツソショウショウ・カタイブビョウテキコッセツアリ	術後吸収不良性骨粗鬆症・下腿部病的骨折あり
術後吸収不良性骨粗鬆症・骨盤部病的骨折あり		ジュツゴキュウシュウフリョウセイコツソショウショウ・コツバンブビョウテキコッセツアリ	術後吸収不良性骨粗鬆症・骨盤部病的骨折あり
術後吸収不良性骨粗鬆症・鎖骨病的骨折あり		ジュツゴキュウシュウフリョウセイコツソショウショウ・サコツビョウテキコッセツアリ	術後吸収不良性骨粗鬆症・鎖骨病的骨折あり
術後吸収不良性骨粗鬆症・上腕病的骨折あり		ジュツゴキュウシュウフリョウセイコツソショウショウ・ジョウワンビョウテキコッセツアリ	術後吸収不良性骨粗鬆症・上腕病的骨折あり
術後吸収不良性骨粗鬆症・脊椎病的骨折あり		ジュツゴキュウシュウフリョウセイコツソショウショウ・セキツイビョウテキコッセツアリ	術後吸収不良性骨粗鬆症・脊椎病的骨折あり
術後吸収不良性骨粗鬆症・前腕病的骨折あり		ジュツゴキュウシュウフリョウセイコツソショウショウ・ゼンワンビョウテキコッセツアリ	術後吸収不良性骨粗鬆症・前腕病的骨折あり
術後吸収不良性骨粗鬆症・多発病的骨折あり		ジュツゴキュウシュウフリョウセイコツソショウショウ・タハツビョウテキコッセツアリ	術後吸収不良性骨粗鬆症・多発病的骨折あり
術後吸収不良性骨粗鬆症・大腿部病的骨折あり		ジュツゴキュウシュウフリョウセイコツソショウショウ・ダイタイブビョウテキコッセツアリ	術後吸収不良性骨粗鬆症・大腿部病的骨折あり
術後吸収不良性骨粗鬆症・病的骨折あり		ジュツゴキュウシュウフリョウセイコツソショウショウ・ビョウテキコッセツアリ	術後吸収不良性骨粗鬆症・病的骨折あり
術後吸収不良性骨粗鬆症・肋骨病的骨折あり		ジュツゴキュウシュウフリョウセイコツソショウショウ・ロッコツビョウテキコッセツアリ	術後吸収不良性骨粗鬆症・肋骨病的骨折あり
術後吸収不良性骨軟化症		ジュツゴキュウシュウフリョウセイコツナンカショウ	術後吸収不良性骨軟化症
術後急性肝炎		ジュツゴキュウセイカンエン	術後急性肝炎
術後胸腔内血腫		ジュツゴキョウクウナイケッシュ	術後胸腔内血腫
術後筋皮神経麻痺		ジュツゴキンヒシンケイマヒ	術後筋皮神経麻痺
術後逆流性食道炎		ジュツゴギャクリュウセイショクドウエン	術後逆流性食道炎
術後空気塞栓症		ジュツゴクウキソクセンショウ	術後空気塞栓症
術後頚髄損傷		ジュツゴケイズイソンショウ	術後頚髄損傷
術後血腫		ジュツゴケッシュ	術後血腫
術後結膜炎		ジュツゴケツマクエン	術後結膜炎
術後ケロイド瘢痕		ジュツゴケロイドハンコン	術後ケロイド瘢痕
術後口蓋欠損		ジュツゴコウガイケッソン	術後口蓋欠損
術後高眼圧症		ジュツゴコウガンアツショウ	術後高眼圧症
術後虹彩炎		ジュツゴコウサイエン	術後虹彩炎
術後甲状腺機能低下症		ジュツゴコウジョウセンキノウテイカショウ	術後甲状腺機能低下症
術後甲状腺欠損		ジュツゴコウジョウセンケッソン	術後甲状腺欠損
術後肛門狭窄		ジュツゴコウモンキョウサク	術後肛門狭窄
術後呼吸不全		ジュツゴコキュウフゼン	術後呼吸不全
術後骨髄炎		ジュツゴコツズイエン	術後骨髄炎
術後骨弁感染		ジュツゴコツベンカンセン	術後骨弁感染
術後三叉神経痛		ジュツゴサンサシンケイツウ	術後三叉神経痛
術後残胃胃炎		ジュツゴザンイイエン	術後残胃胃炎
術後子宮内膜症		ジュツゴシキュウナイマクショウ	術後子宮内膜症
術後歯肉退縮		ジュツゴシニクタイシュク	術後歯肉退縮
術後出血		ジュツゴシュッケツ	術後出血
術後出血性ショック		ジュツゴシュッケツセイショック	術後出血性ショック
術後漿液腫		ジュツゴショウエキシュ	術後漿液腫
術後消化管出血性ショック		ジュツゴショウカカンシュッケツセイショック	術後消化管出血性ショック
術後食道炎		ジュツゴショクドウエン	術後食道炎
術後食道裂孔ヘルニア		ジュツゴショクドウレッコウヘルニア	術後食道裂孔ヘルニア
術後ショック		ジュツゴショック	術後ショック
術後神経症		ジュツゴシンケイショウ	術後神経症
術後心タンポナーデ		ジュツゴシンタンポナーデ	術後心タンポナーデ
術後心房細動		ジュツゴシンボウサイドウ	術後心房細動
術後縦隔タンポナーデ		ジュツゴジュウカクタンポナーデ	術後縦隔タンポナーデ
術後縦隔洞炎		ジュツゴジュウカクドウエン	術後縦隔洞炎
術後十二指腸潰瘍		ジュツゴジュウニシチョウカイヨウ	術後十二指腸潰瘍
術後循環異常症		ジュツゴジュンカンイジョウショウ	術後循環異常症
術後腎盂腎炎		ジュツゴジンウジンエン	術後腎盂腎炎
術後膵液瘻		ジュツゴスイエキロウ	術後膵液瘻
術後膵炎		ジュツゴスイエン	術後膵炎
術後髄膜炎		ジュツゴズイマクエン	術後髄膜炎
術後性下顎顎欠損		ジュツゴセイカガクガクケッソン	術後性下顎顎欠損
術後性耳下腺炎		ジュツゴセイジカセンエン	術後性耳下腺炎
術後性上顎顎欠損		ジュツゴセイジョウガクガクケッソン	術後性上顎顎欠損
術後性上顎のう胞		ジュツゴセイジョウガクノウホウ	術後性上顎のう胞
術後精巣機能不全症		ジュツゴセイソウキノウフゼンショウ	術後精巣機能不全症
術後性中耳炎		ジュツゴセイチュウジエン	術後性中耳炎
術後性反回神経麻痺		ジュツゴセイハンカイシンケイマヒ	術後性反回神経麻痺
術後性慢性中耳炎		ジュツゴセイマンセイチュウジエン	術後性慢性中耳炎
術後脊柱前弯症		ジュツゴセキチュウゼンワンショウ	術後脊柱前弯症
術後穿孔		ジュツゴセンコウ	術後穿孔
術後創部感染		ジュツゴソウブカンセン	術後創部感染
術後即時顎補綴装置破損		ジュツゴソクジガクホテツソウチハソン	術後即時顎補綴装置破損
術後即時顎補綴装置不適合		ジュツゴソクジガクホテツソウチフテキゴウ	術後即時顎補綴装置不適合
術後胆管炎		ジュツゴタンカンエン	術後胆管炎
術後胆管狭窄		ジュツゴタンカンキョウサク	術後胆管狭窄
術後胆汁瘻		ジュツゴタンジュウロウ	術後胆汁瘻
術後胆のう炎		ジュツゴタンノウエン	術後胆のう炎
術後腟癒着		ジュツゴチツユチャク	術後腟癒着
術後中枢性尿崩症		ジュツゴチュウスウセイニョウホウショウ	術後中枢性尿崩症
術後腸管癒着		ジュツゴチョウカンユチャク	術後腸管癒着
術後低インスリン血症		ジュツゴテイインスリンケッショウ	術後低インスリン血症
術後低蛋白血症		ジュツゴテイタンパクケッショウ	術後低蛋白血症
術後てんかん		ジュツゴテンカン	術後てんかん
術後疼痛		ジュツゴトウツウ	術後疼痛
術後動眼神経麻痺		ジュツゴドウガンシンケイマヒ	術後動眼神経麻痺
術後難治性逆流性食道炎		ジュツゴナンチセイギャクリュウセイショクドウエン	術後難治性逆流性食道炎
術後乳癌		ジュツゴニュウガン	術後乳癌
術後乳び胸		ジュツゴニュウビキョウ	術後乳び胸
術後尿道狭窄		ジュツゴニョウドウキョウサク	術後尿道狭窄
術後膿瘍		ジュツゴノウヨウ	術後膿瘍
術後肺炎		ジュツゴハイエン	術後肺炎
術後肺合併症		ジュツゴハイガッペイショウ	術後肺合併症
術後敗血症		ジュツゴハイケツショウ	術後敗血症
術後排尿障害		ジュツゴハイニョウショウガイ	術後排尿障害
術後発熱		ジュツゴハツネツ	術後発熱
術後瘢痕		ジュツゴハンコン	術後瘢痕
術後瘢痕狭窄		ジュツゴハンコンキョウサク	術後瘢痕狭窄
術後皮下気腫		ジュツゴヒカキシュ	術後皮下気腫
術後貧血		ジュツゴヒンケツ	術後貧血
術後腹腔内膿瘍		ジュツゴフククウナイノウヨウ	術後腹腔内膿瘍
術後副甲状腺機能低下症		ジュツゴフクコウジョウセンキノウテイカショウ	術後副甲状腺機能低下症
術後副腎皮質機能低下症		ジュツゴフクジンヒシツキノウテイカショウ	術後副腎皮質機能低下症
術後腹壁膿瘍		ジュツゴフクヘキノウヨウ	術後腹壁膿瘍
術後腹膜炎		ジュツゴフクマクエン	術後腹膜炎
術後閉塞		ジュツゴヘイソク	術後閉塞
術後便秘		ジュツゴベンピ	術後便秘
術後膀胱機能低下		ジュツゴボウコウキノウテイカ	術後膀胱機能低下
術後房室ブロック		ジュツゴボウシツブロック	術後房室ブロック
術後無気肺		ジュツゴムキハイ	術後無気肺
術後幽門狭窄		ジュツゴユウモンキョウサク	術後幽門狭窄
術後癒着		ジュツゴユチャク	術後癒着
術後癒着性イレウス		ジュツゴユチャクセイイレウス	術後癒着性イレウス
術後溶血性貧血		ジュツゴヨウケツセイヒンケツ	術後溶血性貧血
術後腰痛		ジュツゴヨウツウ	術後腰痛
術後卵巣機能不全		ジュツゴランソウキノウフゼン	術後卵巣機能不全
術後リンパ漏		ジュツゴリンパロウ	術後リンパ漏
術後瘻孔形成		ジュツゴロウコウケイセイ	術後瘻孔形成
術創部痛		ジュツソウブツウ	術創部痛
術中異常高血圧症		ジュツチュウイジョウコウケツアツショウ	術中異常高血圧症
術中出血		ジュツチュウシュッケツ	術中出血
術中ショック		ジュツチュウショック	術中ショック
術中心室性不整脈		ジュツチュウシンシツセイフセイミャク	術中心室性不整脈
術中損傷		ジュツチュウソンショウ	術中損傷
術中大量出血		ジュツチュウタイリョウシュッケツ	術中大量出血
術中低血圧		ジュツチュウテイケツアツ	術中低血圧
術中頻脈発作		ジュツチュウヒンミャクホッサ	術中頻脈発作
術中不整脈		ジュツチュウフセイミャク	術中不整脈
受動攻撃型性格障害		ジュドウコウゲキガタセイカクショウガイ	受動攻撃型性格障害
授乳異常		ジュニュウイジョウ	授乳異常
授乳困難		ジュニュウコンナン	授乳困難
授乳性子宮萎縮		ジュニュウセイシキュウイシュク	授乳性子宮萎縮
授乳性無月経		ジュニュウセイムゲッケイ	授乳性無月経
授乳中の母親のケア		ジュニュウチュウノハハオヤノケア	授乳中の母親のケア
ジュベール症候群		ジュベールショウコウグン	ジュベール症候群
ジュベール症候群関連疾患		ジュベールショウコウグンカンレンシッカン	ジュベール症候群関連疾患
受容性言語障害		ジュヨウセイゲンゴショウガイ	受容性言語障害
循環型躁うつ病		ジュンカンガタソウウツビョウ	循環型躁うつ病
循環血液量減少性ショック		ジュンカンケツエキリョウゲンショウセイショック	循環血液量減少性ショック
循環性抗凝血因子症		ジュンカンセイコウギョウケツインシショウ	循環性抗凝血因子症
純型肺動脈閉鎖		ジュンケイハイドウミャクヘイサ	純型肺動脈閉鎖
純型肺動脈弁閉鎖症		ジュンケイハイドウミャクベンヘイサショウ	純型肺動脈弁閉鎖症
純粋運動性片麻痺		ジュンスイウンドウセイヘンマヒ	純粋運動性片麻痺
純粋自律神経不全		ジュンスイジリツシンケイフゼン	純粋自律神経不全
純粋性腺形成異常症		ジュンスイセイセンケイセイイジョウショウ	純粋性腺形成異常症
純粋無動症		ジュンスイムドウショウ	純粋無動症
上衣下巨細胞性星細胞腫		ジョウイカキョサイボウセイセイサイボウシュ	上衣下巨細胞性星細胞腫
上衣下腫		ジョウイカシュ	上衣下腫
上衣芽細胞腫		ジョウイガサイボウシュ	上衣芽細胞腫
上位胸髄損傷		ジョウイキョウズイソンショウ	上位胸髄損傷
上位頚髄損傷		ジョウイケイズイソンショウ	上位頚髄損傷
上衣腫		ジョウイシュ	上衣腫
常位胎盤早期剥離		ジョウイタイバンソウキハクリ	常位胎盤早期剥離
上咽頭悪性腫瘍		ジョウイントウアクセイシュヨウ	上咽頭悪性腫瘍
上咽頭悪性リンパ腫		ジョウイントウアクセイリンパシュ	上咽頭悪性リンパ腫
上咽頭炎		ジョウイントウエン	上咽頭炎
上咽頭癌		ジョウイントウガン	上咽頭癌
上咽頭後壁癌		ジョウイントウコウヘキガン	上咽頭後壁癌
上咽頭脂肪肉腫		ジョウイントウシボウニクシュ	上咽頭脂肪肉腫
上咽頭上壁癌		ジョウイントウジョウヘキガン	上咽頭上壁癌
上咽頭前壁癌		ジョウイントウゼンペキガン	上咽頭前壁癌
上咽頭側壁癌		ジョウイントウソクヘキガン	上咽頭側壁癌
上咽頭良性腫瘍		ジョウイントウリョウセイシュヨウ	上咽頭良性腫瘍
上下顎骨開放骨折		ジョウカガクコツカイホウコッセツ	上下顎骨開放骨折
上下顎骨骨折		ジョウカガクコツコッセツ	上下顎骨骨折
上下顎前突症		ジョウカガクゼントツショウ	上下顎前突症
上下肢筋不全麻痺		ジョウカシキンフゼンマヒ	上下肢筋不全麻痺
上下肢リンパ浮腫		ジョウカシリンパフシュ	上下肢リンパ浮腫
上顎悪性エナメル上皮腫		ジョウガクアクセイエナメルジョウヒシュ	上顎悪性エナメル上皮腫
上顎右側偏位		ジョウガクウソクヘンイ	上顎右側偏位
上顎エナメル上皮癌		ジョウガクエナメルジョウヒガン	上顎エナメル上皮癌
上顎エナメル上皮腫		ジョウガクエナメルジョウヒシュ	上顎エナメル上皮腫
上顎エナメル上皮腫・骨外型／周辺型		ジョウガクエナメルジョウヒシュ・コツガイガタ／シュウヘンガタ	上顎エナメル上皮腫・骨外型／周辺型
上顎エナメル上皮腫・単のう胞型		ジョウガクエナメルジョウヒシュ・タンノウホウガタ	上顎エナメル上皮腫・単のう胞型
上顎エナメル上皮線維腫		ジョウガクエナメルジョウヒセンイシュ	上顎エナメル上皮線維腫
上顎癌		ジョウガクガン	上顎癌
上顎結節部癌		ジョウガクケッセツブガン	上顎結節部癌
上顎結節部良性腫瘍		ジョウガクケッセツブリョウセイシュヨウ	上顎結節部良性腫瘍
上顎幻影細胞性歯原性癌		ジョウガクゲンエイサイボウセイシゲンセイガン	上顎幻影細胞性歯原性癌
上顎原始性歯原性腫瘍		ジョウガクゲンシセイシゲンセイシュヨウ	上顎原始性歯原性腫瘍
上顎原発性骨内癌		ジョウガクゲンパツセイコツナイガン	上顎原発性骨内癌
上顎硬化性歯原性癌		ジョウガクコウカセイシゲンセイガン	上顎硬化性歯原性癌
上顎後退症		ジョウガクコウタイショウ	上顎後退症
上顎骨悪性腫瘍		ジョウガクコツアクセイシュヨウ	上顎骨悪性腫瘍
上顎骨炎		ジョウガクコツエン	上顎骨炎
上顎骨開放骨折		ジョウガクコツカイホウコッセツ	上顎骨開放骨折
上顎骨間葉性軟骨肉腫		ジョウガクコツカンヨウセイナンコツニクシュ	上顎骨間葉性軟骨肉腫
上顎骨骨折		ジョウガクコツコッセツ	上顎骨骨折
上顎骨骨芽細胞腫		ジョウガクコツコツガサイボウシュ	上顎骨骨芽細胞腫
上顎骨骨形成線維腫		ジョウガクコツコツケイセイセンイシュ	上顎骨骨形成線維腫
上顎骨骨髄炎		ジョウガクコツコツズイエン	上顎骨骨髄炎
上顎骨骨肉腫		ジョウガクコツコツニクシュ	上顎骨骨肉腫
上顎骨骨膜炎		ジョウガクコツコツマクエン	上顎骨骨膜炎
上顎骨骨膜下膿瘍		ジョウガクコツコツマクカノウヨウ	上顎骨骨膜下膿瘍
上顎骨骨膜性骨肉腫		ジョウガクコツコツマクセイコツニクシュ	上顎骨骨膜性骨肉腫
上顎骨腫瘍		ジョウガクコツシュヨウ	上顎骨腫瘍
上顎骨線維腫		ジョウガクコツセンイシュ	上顎骨線維腫
上顎骨低悪性中心性骨肉腫		ジョウガクコツテイアクセイチュウシンセイコツニクシュ	上顎骨低悪性中心性骨肉腫
上顎骨軟骨芽細胞型骨肉腫		ジョウガクコツナンコツガサイボウガタコツニクシュ	上顎骨軟骨芽細胞型骨肉腫
上顎骨軟骨芽細胞腫		ジョウガクコツナンコツガサイボウシュ	上顎骨軟骨芽細胞腫
上顎骨軟骨肉腫		ジョウガクコツナンコツニクシュ	上顎骨軟骨肉腫
上顎骨軟骨粘液線維腫		ジョウガクコツナンコツネンエキセンイシュ	上顎骨軟骨粘液線維腫
上顎骨乳児黒色性神経外胚葉性腫瘍		ジョウガクコツニュウジコクショクセイシンケイガイハイヨウセイシュヨウ	上顎骨乳児黒色性神経外胚葉性腫瘍
上顎骨傍骨性骨肉腫		ジョウガクコツボウコツセイコツニクシュ	上顎骨傍骨性骨肉腫
上顎骨良性腫瘍		ジョウガクコツリョウセイシュヨウ	上顎骨良性腫瘍
上顎骨類腱線維腫		ジョウガクコツルイケンセンイシュ	上顎骨類腱線維腫
上顎骨類骨骨腫		ジョウガクコツルイコツコツシュ	上顎骨類骨骨腫
上顎左側偏位		ジョウガクサソクヘンイ	上顎左側偏位
上顎擦過傷		ジョウガクサッカショウ	上顎擦過傷
上顎挫傷		ジョウガクザショウ	上顎挫傷
上顎歯牙腫		ジョウガクシガシュ	上顎歯牙腫
上顎歯牙腫・集合型		ジョウガクシガシュ・シュウゴウガタ	上顎歯牙腫・集合型
上顎歯牙腫・複雑型		ジョウガクシガシュ・フクザツガタ	上顎歯牙腫・複雑型
上顎歯原性角化のう胞		ジョウガクシゲンセイカクカノウホウ	上顎歯原性角化のう胞
上顎歯原性線維腫		ジョウガクシゲンセイセンイシュ	上顎歯原性線維腫
上顎歯原性肉腫		ジョウガクシゲンセイニクシュ	上顎歯原性肉腫
上顎歯原性粘液腫		ジョウガクシゲンセイネンエキシュ	上顎歯原性粘液腫
上顎歯槽骨炎		ジョウガクシソウコツエン	上顎歯槽骨炎
上顎歯槽部開放骨折		ジョウガクシソウブカイホウコッセツ	上顎歯槽部開放骨折
上顎歯槽部骨折		ジョウガクシソウブコッセツ	上顎歯槽部骨折
上顎歯肉癌		ジョウガクシニクガン	上顎歯肉癌
上顎歯肉頬移行部癌		ジョウガクシニクキョウイコウブガン	上顎歯肉頬移行部癌
上顎腫瘍		ジョウガクシュヨウ	上顎腫瘍
上顎腫瘤		ジョウガクシュリュウ	上顎腫瘤
上顎水平開放骨折		ジョウガクスイヘイカイホウコッセツ	上顎水平開放骨折
上顎水平骨折		ジョウガクスイヘイコッセツ	上顎水平骨折
上顎石灰化歯原性のう胞		ジョウガクセッカイカシゲンセイノウホウ	上顎石灰化歯原性のう胞
上顎石灰化上皮性歯原性腫瘍		ジョウガクセッカイカジョウヒセイシゲンセイシュヨウ	上顎石灰化上皮性歯原性腫瘍
上顎切創		ジョウガクセッソウ	上顎切創
上顎セメント芽細胞腫		ジョウガクセメントガサイボウシュ	上顎セメント芽細胞腫
上顎セメント質骨形成線維腫		ジョウガクセメントシツコツケイセイセンイシュ	上顎セメント質骨形成線維腫
上顎セメント質腫		ジョウガクセメントシツシュ	上顎セメント質腫
上顎腺腫様歯原性腫瘍		ジョウガクセンシュヨウシゲンセイシュヨウ	上顎腺腫様歯原性腫瘍
上顎前突症		ジョウガクゼントツショウ	上顎前突症
上顎象牙質形成性幻影細胞腫		ジョウガクゾウゲシツケイセイセイゲンエイサイボウシュ	上顎象牙質形成性幻影細胞腫
上顎象牙質腫		ジョウガクゾウゲシツシュ	上顎象牙質腫
上顎体部開放骨折		ジョウガクタイブカイホウコッセツ	上顎体部開放骨折
上顎体部骨折		ジョウガクタイブコッセツ	上顎体部骨折
上顎大顎症		ジョウガクダイガクショウ	上顎大顎症
上顎打撲傷		ジョウガクダボクショウ	上顎打撲傷
上顎洞悪性黒色腫		ジョウガクドウアクセイコクショクシュ	上顎洞悪性黒色腫
上顎洞異物		ジョウガクドウイブツ	上顎洞異物
上顎洞炎		ジョウガクドウエン	上顎洞炎
上顎洞癌		ジョウガクドウガン	上顎洞癌
上顎洞腫瘍		ジョウガクドウシュヨウ	上顎洞腫瘍
上顎洞上皮内癌		ジョウガクドウジョウヒナイガン	上顎洞上皮内癌
上顎洞性後鼻孔ポリープ		ジョウガクドウセイコウビコウポリープ	上顎洞性後鼻孔ポリープ
